,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dran Sword,BX-01/22☆,,Dran Sword,BX-07,,Dran Sword,BX-14☆,,Dran Sword ,BX-17☆,,Dran Sword ,BX-00,,Dran Sword,BX-00,,Dran Sword,UX-00,,Dran Sword,BX-00,,Dran Sword,BX-00,,Dran Sword,BX-00
0/10,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hell's Scythe,BX-02☆,,Hell's Scythe,BX-08☆,,Hell's Scythe,BX-14,,Hell's Scythe,BX-00,,Hell's Scythe,BX-00,,,,,,,,,,,,,,,
0/5,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,, ,,, ,,, ,,, ,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wizard Arrow,BX-03 ☆,,Wizard Arrow,BX-05,,Wizard Arrow,BX-08☆,,Wizard Arrow,BX-14,,Wizard Arrow,BX-17,,Wizard Arrow,BX-21☆,,Wizard Arrow,BX-24☆,,,,,,,,,
0/7,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,, ,,, ,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knight Shield,BX-04☆,,Knight Shield,BX-06,,Knight Shield,BX-08,,Knight Shield,BX-14,,Knight Shield,BX-20☆,,,,,,,,,,,,,,,
0/5,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knight Lance,BX-13☆,,Knight Lance,BX-21☆,,Knight Lance,BX-24,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,, ,,, ,,, ,,, ,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shark Edge,BX-14☆,,Shark Edge,BX-14,,Shark Edge,BX-20☆,,Shark Edge,BX-31☆,,Shark Edge,BX-00,,Shark Edge,BX-00,,,,,,,,,,,,
0/6,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,, ,,, ,,, ,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leon Claw,BX-15☆,,Leon Claw,BX-24,,Leon Claw,BX-00,,Leon Claw,UX-12,,,,,,,,,,,,,,,,,,
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,, ,,, ,,, ,,, ,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Viper Tail,BX-16☆,,Viper Tail,BX-16,,Viper Tail,BX-16☆,,Viper Tail,BX-24,,Viper Tail,BX-35,,,,,,,,,,,,,,,
0/5,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,, ,,, ,,, ,,, ,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rhino Horn,BX-19☆,,Rhino Horn,BX-31,,,,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dran Dragger,BX-20☆,,Dran Dagger,BX-31☆,,Dran Dagger,UX-18,,Dran Dagger,BX-00,,Dran Dagger,UX-00,,,,,,,,,,,,,,,
0/5,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hell's Chain,BX-21☆,,Hell's Chain,BX-31,,Hell's Chain,BX-00,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoenix Wing,BX-23☆,,Phoenix Wing,BX-35☆,,Phoenix Wing,BX-00,,Phoenix Wing,BX-00,,,,,,,,,,,,,,,,,,
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wyvern Gale,BX-24☆,,Wyvern Gale,BX-24☆,,Wyvern Gale,UX-07,,Wyvern Gale,UX-12,,,,,,,,,,,,,,,,,,
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Unicorn Sting,BX-26☆,,Unicorn Sting,BX-35,,,,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sphinx Cowl,BX-27☆,,Sphinx Cowl,BX-27,,Sphinx Cowl,BX-27,,Sphinx Cowl,UX-07☆,,,,,,,,,,,,,,,,,,
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tyranno Beat,BX-31☆,,Tyranno Beat,BX-31,,Tyranno Beat,UX-10,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weiss Tiger,BX-33☆,,Weiss Tiger,UX-18,,,,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
