,,,,,,,,,,,,
,,,,,,,,,,,,
,,Dranzer Spiral,BX-00,,Dranzer Spiral (Black),BX-00,,Dranzer Spiral,B☆,,Dranzer Spiral,B☆
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE
,,,,,,,,,,,,
,,Driger Slash,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Lightning L-Drago (Upper),BX-00,,Lightning L-Drago (Barrage),BX-00,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,
,,,,,,,,,,,,
,,Draciel Sheild,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Dragoon Storm,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Storm Pegasis,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Victory Valkyrie ,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Xeno X-Calibur,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Rock Leon,BX-00,,,,,,,,,
0/1,,,FALSE,,,,,,,,,
,,,,,,,,,,,,
,,Total Count,,,☆ = Hasbro Excluisve,,,,,,,
,,0/13,,,,,,,,,,
