,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dran Buster,UX-01☆,,Dran Buster,UX-04,,Dran Buster,UX-00,,Dran Buster,UX-00,,Dran Sword,UX-00,,Dran Buster,UX-00,,Dran Buster,UX-00,,Dran Buster,UX-00,,Dran Buster,CX-08
0/9,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hells Hammer,UX-02☆,,Hells Hammer,UX-10,,Hells Hammer,UX-00,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wizard Rod,BX-03☆,,Wizard Rod,UX-04,,Wizard Rod,BX-35☆,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shinobi Shadow,UX-05☆,,Shinobi Shadow,UX-05,,Shinobi Shadow,UX-05,,Shinobi Shadow,UX-12,,,,,,,,,,,,,,,
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leon Crest,UX-06☆,,Leon Crest,CX-05,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoenix Rudder,UX-07,,Phoenix Rudder,CX-05,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Silver Wolf,UX-08☆,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samurai Saber,UX-09☆,,Samurai Saber,UX-00,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knight Mail,UX-10,,Knight Mail,UX-00,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impact Drake,UX-11☆,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ghost Circle,UX-12☆,,Ghost Circle,UX-12,,,,,,,,,,,,,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golem Rock,UX-13☆,,Golem Rock,CX-11,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scorpio Spear,UX-14,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shark Scale,UX-15,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Clock Mirage,UX-16,,Clock Mirage,UX-16,,Clock Mirage,UX-16,,,,,,,,,,,,,,,,,,
0/0,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meteor Dragoon,UX-17,,,,,,,,,,,,,,,,,,,,,,,,
0/0,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mummy Curse,UX-18,,Mummy Curse,UX-18,,,,,,,,,,,,,,,,,,,,,
0/0,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aero Pegasus,UX-00,,Aero Pegasus,UX-00,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,???,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wyvern Hover,UX-00,,Wyvern Hover,UX-00,,,,,,,,,,,,,,,,,,,,,
0/0,,,10/11,,,10/11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Count,,,☆ = Hasbro Release Available,,,,,,,,,,,,,,,,,,,,,,
,,0/34,,,,,,,,,,,,,,,,,,,,,,,,,
