,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Dran Brave,CX-01☆,,Dran Brave,CX-04,,Hells Brave,UX-15,,Sol Brave,CX-00,,Dran Brave,CX-00
0/3,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,???
,,,,,,,,,,,,,,,
,,Wizard Arc,CX-02☆,,Hells Arc,CX-05,,Dran Arc,CX-00,,Wizard Arc,CX-00,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
,,,,,,,,,,,,,,,
,,Perseus Dark ,CX-03☆,,Perseus Dark ,CX-04,,Cerberus Dark,CX-08,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,
,,,,,,,,,,,,,,,
,,Hells Reaper,CX-05☆,,Rhino Reaper,CX-05,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,
,,Fox Brush,CX-06☆,,Fox Brush,CX-06,,Fox Brush ,CX-06,,Pegasus Brush ,CX-06,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
,,,,,,,,,,,,,,,
,,Pegasus Blast,CX-07,,Pegasus Blast,CX-00,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,
,,Cerberus Flame,CX-08,,Whale Flame,CX-08,,,,,,,,,
0/2,,,FALSE,,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,
,,Sol Eclipse,CX-09,,,,,,,,,,,,
0/0,,,11/27,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Wolf Hunt,CX-09,,,,,,,,,,,,
0/0,,,11/27,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Emperor Might,CX-11,,,,,,,,,,,,
0/0,,,11/27,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,PhoenixFlare,CX-12,,,,,,,,,,,,
0/0,,,11/27,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,, Bahamut Blitz,CX-13,, Bahamut Blitz,CX-16,,,,,,,,,
0/0,,,11/27,,,11/27,,,,,,,,,
,,,,,,,,,,,,,,,
,,Knight Fortress,CX-14,,,,,,,,,,,,
0/0,,,11/27,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Ragna Rage,CX-11,,,,,,,,,,,,
0/0,,,11/27,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Valkyrie Volt,CX-00,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Leon Fang,CX-00,,,,,,,,,,,,
0/0,,,11/13,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Total Count,,,☆ = Hasbro Release Available,,,,,,,,,,
,,0/19,,,,,,,,,,,,,
